"Analyte.Name","Analyte.Class","gene","r2","correlation","p-value","p.adj"
"Hypoxanthine","Nucleobases and related","K03409",0.212318884558667,-0.486758584327188,0.00407144337269128,0.0328151929389046
"Hypoxanthine","Nucleobases and related","K03931",0.171408412248267,-0.444186784321087,0.0096083829734582,0.0427934393343169
"Hypoxanthine","Nucleobases and related","K12995",0.148998665365711,-0.41903753659193,0.0152133053090671,0.0498190922723031
"Hypoxanthine","Nucleobases and related","K14379",0.174345407748522,-0.44737804344467,0.00904217473538562,0.0419583207100526
"Hypoxanthine","Nucleobases and related","K16066",0.184200392215944,-0.457923716310038,0.00736799217076716,0.0390795708088267
"Hypoxanthine","Nucleobases and related","K16211",0.189628610042547,-0.463629934299671,0.00657783453872272,0.0367788519409697
"Indolepropionic.acid","Indoles and derivatives","K09136",0.188598681169609,-0.46172134445144,0.00598134529946318,0.036310284406153
"Indolepropionic.acid","Indoles and derivatives","K15125",0.204723586165845,-0.478354336693572,0.00421518611681076,0.0328551567588514
"Indoxyl.sulfate","Indoles and derivatives","K03462",0.229575683543017,-0.502913387126257,0.00243389186291506,0.0283883804042138
"Indoxyl.sulfate","Indoles and derivatives","K12268",0.184906073466462,0.457827357660094,0.00647622424740013,0.0366146868332572
"Indoxyl.sulfate","Indoles and derivatives","K15125",0.143484522811969,0.411630340563244,0.0155744911894787,0.0498841080878906
"Isobutyric.acid","Short-chain fatty acids","K21749",0.217172636428549,0.493220926037137,0.00481225767021495,0.0340154103812454
"Isovaleric.acid","Short-chain fatty acids","K12056",0.451114225391123,-0.68513532814918,2.1161762490224e-05,0.0148155617303924
"Isovaleric.acid","Short-chain fatty acids","K18320",0.364854461115148,-0.621309889731345,0.000191327647359492,0.0171902316741799
"Kynurenine","Amino acid related","K17466",0.455769646855241,-0.687212831471019,7.14942677389145e-06,0.012911864753648
"Lysine","Amino acids","K02847",0.199325022265848,0.472850822542378,0.00474164529562395,0.0339145006094925
